generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
39000,Nardus_stricta,Molinia_caerulea,324.378,1.27925,0.0701545,1.84495,0
39000,Narthecium_ossifragum,NA,313.044,0.555283,-0.00944447,0.450207,0
39000,Althaea_officinalis,Malva_pusilla,336.345,3.37527,0.0481633,4.41309,0
39000,Cytisus_sessilifolius,NA,337.514,0.312461,-0.063368,0.290626,0
39000,Calendula_officinalis,Scorzonera_hispanica,314.097,1.25327,0.00263372,0.997468,0
39000,Artemisia_maritima,NA,345.7,0.0174701,0.00568728,0.151934,0
39000,Teucrium_montanum,Salvia_glutinosa,323.107,2.38929,0.0750418,3.65602,0
39000,Ranunculus_aconitifolius,Ranunculus_auricomus,335.299,1.02328,0.0086306,0.308525,0
40000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
40000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.026,2.52329,0.118223,3.62294,0
40000,Brachypodium_pinnatum,Stipa_pennata,346.638,6.96256,0.193675,7.84204,0
40000,Nardus_stricta,Molinia_caerulea,328.577,1.29924,0.0670832,1.61401,0
40000,Narthecium_ossifragum,NA,321.95,0.428547,-0.00944447,0.450207,0
40000,Althaea_officinalis,Malva_pusilla,337.302,3.37527,0.0481633,4.41309,0
40000,Cytisus_sessilifolius,NA,344.795,0.539905,-0.0257918,0.383299,0
40000,Calendula_officinalis,Scorzonera_hispanica,313.718,1.26384,0.00263372,1.05104,0
40000,Teucrium_montanum,Salvia_glutinosa,323.752,2.38929,0.0724474,3.60864,0
40000,Ranunculus_aconitifolius,Ranunculus_auricomus,341.096,1.07465,-0.0160722,0.153407,0
41000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
41000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.162,2.52329,0.118223,3.62294,0
41000,Brachypodium_pinnatum,Stipa_pennata,346.828,7.13336,0.161567,7.84204,0
41000,Nardus_stricta,Molinia_caerulea,329.461,1.26022,0.124387,1.82415,0
41000,Narthecium_ossifragum,NA,319.942,0.428547,-0.00727862,0.454055,0
41000,Althaea_officinalis,Malva_pusilla,335.479,3.37527,0.0481633,4.41309,0
41000,Cytisus_sessilifolius,NA,351.923,0.294578,0.018192,0.344455,0
