generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
62000,Ranunculus_aconitifolius,Ranunculus_auricomus,341.9,1.02009,0.0105932,0.351438,0
62000,Corydalis_solida,NA,308.82,0.0324652,-0.0528027,0.0469601,0
62000,Asarum_europaeum,Liriodendron_tulipifera,199.241,0.323766,-0.0315619,0.0154693,0
63000,Juncus_atratus,Cedrus_atlantica,0,0.259424,0.00532674,0.374192,0
63000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.341,2.55966,0.106418,3.62545,0
63000,Stipa_pennata,Bromus_erectus,347.523,7.79756,0.0989816,6.92894,0
63000,Nardus_stricta,Molinia_caerulea,324.685,1.35777,0.0593666,1.75686,0
63000,Thlaspi_arvense,Lunaria_rediviva,334.358,1.21983,0.0734176,1.30062,0
63000,Althaea_officinalis,Malva_pusilla,334.767,3.48902,0.0257749,4.16316,0
63000,Calendula_officinalis,Scorzonera_hispanica,311.459,1.20651,0.0043902,1.04989,0
