"","species","val"
"167","Festuca_filiformis",0.352182518
"168","Festuca_rupicaprina",0.035149458
"169","Festuca_polesica",0.289811839
"170","Festuca_ovina",0.511883361
"171","Festuca_rupicola",0.212187604
"172","Festuca_pallens",0.179005708
"173","Festuca_valesiaca",-0.008773924
"174","Aira_praecox",0.271841607
"175","Aira_caryophyllea",0.230448921
"176","Deschampsia_cespitosa",0.45331834
"177","Deschampsia_setacea",0.146128036
"178","Holcus_lanatus",0.437750563
"179","Holcus_mollis",0.301029996
"180","Mibora_minima",0.185485492
"181","Sesleria_caerulea",0.517195898
"182","Phalaris_coerulescens",0.522444234
"183","Phalaris_arundinacea",0.522444234
"184","Trisetum_flavescens",0.096910013
"185","Koeleria_macrantha",0.252853031
"186","Arrhenatherum_elatius",0.517195898
"187","Avena_sterilis",0.655138435
"188","Avena_sativa",0.685741739
"189","Avena_fatua",0.631443769
"190","Corynephorus_canescens",0.139879086
"191","Hierochloe_australis",0.348304863
"192","Anthoxanthum_alpinum",0.154454406
"193","Anthoxanthum_odoratum",0.489958479
"194","Briza_media",0.511883361
"195","Calamagrostis_arundinacea",0.214843848
"196","Calamagrostis_stricta",0.444044796
"197","Ammophila_arenaria",0.553883027
"198","Calamagrostis_pseudophragmites",-0.677780705
"199","Agrostis_gigantea",0.269512944
"200","Agrostis_capillaris",0.127104798
"201","Agrostis_vinealis",0.201397124
"202","Agrostis_stolonifera",0.305351369
"203","Puccinellia_distans",0.356025857
"204","Alopecurus_pratensis",0.498310554
"205","Alopecurus_geniculatus",0.08817154
"206","Alopecurus_aequalis",0.283301229
"207","Phleum_pratense",0.534026106
"208","Milium_effusum",0.589949601
"209","Poa_annua",0.444044796
"210","Poa_bulbosa",0.511883361
"211","Poa_badensis",0.017033339
"212","Poa_alpina",0.356025857
"213","Poa_trivialis",0.403120521
"214","Poa_compressa",0.252853031
"215","Poa_palustris",0.230448921
"216","Poa_nemoralis",0.276461804
"217","Poa_chaixii",0.257678575
"218","Poa_pratensis",0.372912003
"219","Molinia_caerulea",0.522444234
"220","Phragmites_australis",-0.677780705
"221","Sorghum_bicolor",0.756636108
"222","Sorghum_halepense",0.380211242
"223","Chrysopogon_gryllus",0.31386722
"224","Setaria_viridis",0.597695186
"225","Setaria_verticillata",0.522444234
"226","Setaria_pumila",0.57863921
"227","Danthonia_decumbens",0.424881637
"228","Eragrostis_minor",0.385606274
"229","Cynodon_dactylon",0.161368002
"230","Phalaris_minor",0.484299839
"231","Cutandia_maritima",0.478566496
"232","Digitaria_ischaemum",0.340444115
"233","Avenula_pratensis",0.389166084
"234","Avenula_pubescens",0.45331834
"235","Bromus_benekenii",0.5289167
"236","Bromus_racemosus",0.443622794
"237","Puccinellia_rupestris",0.414973348
"238","Stipa_pulcherrima",0.372912003
"239","Elymus_pycnanthus",0.481442629
"240","Festuca_cinerea",0.227886705
"241","Festuca_trichophylla",0.294752722
"242","Festuca_nigrescens",0.289990066
"243","Koeleria_glauca",0.07975992
"244","Melica_ciliata",-0.107905397
"245","Dichanthium_ischaemum",0.397940009
"246","Deschampsia_flexuosa",0.28780173
"247","Hierochloe_odorata",0.264817823
"248","Sparganium_erectum",0.63447727
"249","Sparganium_minimum",0.457881897
"250","Typha_angustifolia",-0.853871964
"251","Typha_shuttleworthii",-0.744727495
"252","Typha_latifolia",-0.886056648
"253","Scilla_bifolia",0.680335513
"254","Hyacinthoides_non-scripta",0.665580991
"255","Anthericum_ramosum",0.599883072
"256","Anthericum_liliago",0.612783857
"257","Asparagus_officinalis",0.69019608
"258","Maianthemum_bifolium",0.691965103
"259","Polygonatum_multiflorum",0.697229343
"260","Polygonatum_odoratum",0.698970004
"261","Convallaria_majalis",0.699837726
"262","Muscari_tenuiflorum",0.544068044
"263","Muscari_comosum",0.682145076
"264","Ornithogalum_narbonense",0.645422269
"265","Ornithogalum_nutans",0.69019608
"266","Allium_sphaerocephalon",0.546542663
"267","Allium_ursinum",0.672097858
"268","Allium_ericetorum",0.465382851
"269","Allium_oleraceum",0.617000341
"270","Allium_schoenoprasum",0.534026106
"271","Allium_vineale",0.668385917
"272","Leucojum_vernum",0.618048097
"273","Gladiolus_palustris",0.540329475
"274","Gladiolus_italicus",0.680335513
"275","Iris_sibirica",0.57863921
"276","Iris_spuria",0.620136055
"277","Iris_foetidissima",0.711807229
"278","Iris_graminea",0.641474111
"279","Iris_pseudacorus",0.682145076
"280","Serapias_cordigera",-0.823908741
"281","Dactylorhiza_incarnata",-0.522878745
"282","Neottia_nidus-avis",-0.602059991
"283","Epipactis_atrorubens",-0.638272164
"284","Cypripedium_calceolus",-0.602059991
