species,velocity,log.velocity
Viola arvensis,3.09,0.489958479
Vulpia myuros,3.09,0.489958479
Myosotis arvensis,3.08,0.488550717
Stellaria graminea,3.08,0.488550717
Coronopus didymus,3.07,0.487138375
Eremopyrum triticeum,3.07,0.487138375
Festuca pratensis,3.07,0.487138375
Galium boreale,3.07,0.487138375
Galium mollugo,3.07,0.487138375
Geranium robertianum,3.07,0.487138375
Gypsophila repens,3.07,0.487138375
Hippocrepis comosa,3.07,0.487138375
Horminum pyrenaicum,3.07,0.487138375
Medicago lupulina,3.07,0.487138375
Ranunculus sardous,3.07,0.487138375
Reseda luteola,3.07,0.487138375
Salvia pratensis,3.07,0.487138375
Stellaria palustris,3.07,0.487138375
Suaeda maritima,3.07,0.487138375
Vulpia myuros,3.07,0.487138375
Prunella laciniata,3.06,0.485721426
Urtica urens,3.06,0.485721426
Aethusa cynapium,3.05,0.484299839
Amaranthus retroflexus,3.05,0.484299839
Amaranthus retroflexus,3.05,0.484299839
Amelanchier ovalis,3.05,0.484299839
Anemone nemorosa,3.05,0.484299839
Anemone nemorosa,3.05,0.484299839
Anthoxanthum odoratum,3.05,0.484299839
Anthoxanthum odoratum,3.05,0.484299839
Apium graveolens,3.05,0.484299839
Arctium minus,3.05,0.484299839
Armeria maritima s. elongata,3.05,0.484299839
Barbarea vulgaris,3.05,0.484299839
Berteroa incana,3.05,0.484299839
Bromus squarrosus,3.05,0.484299839
Calla palustris,3.05,0.484299839
Calla palustris,3.05,0.484299839
Carex arenaria,3.05,0.484299839
Carex arenaria,3.05,0.484299839
Carex chordorrhiza,3.05,0.484299839
Carex chordorrhiza,3.05,0.484299839
Carex extensa,3.05,0.484299839
Carex extensa,3.05,0.484299839
Carex extensa,3.05,0.484299839
Carex hostiana,3.05,0.484299839
Carex pallescens,3.05,0.484299839
Carex pallescens,3.05,0.484299839
Carex panicea,3.05,0.484299839
Carex pilulifera,3.05,0.484299839
Carex sylvatica,3.05,0.484299839
Carex sylvatica,3.05,0.484299839
Carex sylvatica,3.05,0.484299839
Carex sylvatica,3.05,0.484299839
Carex sylvatica,3.05,0.484299839
Carex sylvatica,3.05,0.484299839
Centaurea scabiosa,3.05,0.484299839
Chaerophyllum bulbosum,3.05,0.484299839
Corispermum intermedium,3.05,0.484299839
Eleocharis quinqueflora,3.05,0.484299839
Eleocharis uniglumis,3.05,0.484299839
Eleocharis uniglumis,3.05,0.484299839
Eryngium maritimum,3.05,0.484299839
Festuca arundinacea,3.05,0.484299839
Festuca ovina,3.05,0.484299839
Festuca ovina,3.05,0.484299839
Festuca ovina,3.05,0.484299839
Festuca pratensis,3.05,0.484299839
Galium album,3.05,0.484299839
Galium album,3.05,0.484299839
Galium boreale,3.05,0.484299839
Galium mollugo,3.05,0.484299839
Galium verum,3.05,0.484299839
Galium verum,3.05,0.484299839
Galium verum,3.05,0.484299839
Galium verum,3.05,0.484299839
Galium verum,3.05,0.484299839
Gentianella campestris,3.05,0.484299839
Gentianella campestris,3.05,0.484299839
Geranium robertianum,3.05,0.484299839
Geranium robertianum,3.05,0.484299839
Geranium robertianum,3.05,0.484299839
Geranium robertianum,3.05,0.484299839
Geranium robertianum,3.05,0.484299839
Geum urbanum,3.05,0.484299839
Gladiolus palustris,3.05,0.484299839
Gypsophila scorzonerifolia Ser.,3.05,0.484299839
Lamium album,3.05,0.484299839
Leonurus cardiaca,3.05,0.484299839
Linum flavum,3.05,0.484299839
Lolium multiflorum,3.05,0.484299839
Luzula campestris,3.05,0.484299839
Malva moschata,3.05,0.484299839
Malva moschata,3.05,0.484299839
Medicago lupulina,3.05,0.484299839
Medicago lupulina,3.05,0.484299839
Medicago lupulina,3.05,0.484299839
Milium effusum,3.05,0.484299839
Molinia caerulea,3.05,0.484299839
Myrica gale,3.05,0.484299839
Peucedanum officinale,3.05,0.484299839
Phacelia tanacetifolia,3.05,0.484299839
Phalaris minor,3.05,0.484299839
Phalaris minor,3.05,0.484299839
Pimpinella major,3.05,0.484299839
Plantago maritima,3.05,0.484299839
Potentilla erecta,3.05,0.484299839
Primula elatior,3.05,0.484299839
Primula elatior,3.05,0.484299839
Primula elatior,3.05,0.484299839
Primula veris,3.05,0.484299839
Prunella vulgaris,3.05,0.484299839
Prunella vulgaris,3.05,0.484299839
Prunella vulgaris,3.05,0.484299839
Ranunculus acris,3.05,0.484299839
Ranunculus auricomus,3.05,0.484299839
Ranunculus repens,3.05,0.484299839
Ranunculus sardous,3.05,0.484299839
Rumex acetosa,3.05,0.484299839
Rumex acetosella,3.05,0.484299839
Rumex palustris,3.05,0.484299839
Rumex sanguineus,3.05,0.484299839
Salvia pratensis,3.05,0.484299839
Salvia pratensis,3.05,0.484299839
Saponaria officinalis,3.05,0.484299839
Schoenus nigricans,3.05,0.484299839
Schoenus nigricans,3.05,0.484299839
Schoenus nigricans,3.05,0.484299839
Schoenus nigricans,3.05,0.484299839
Sesleria caerulea,3.05,0.484299839
Sesleria caerulea,3.05,0.484299839
Sesleria caerulea,3.05,0.484299839
Sesleria caerulea,3.05,0.484299839
Setaria verticillata,3.05,0.484299839
Stellaria graminea,3.05,0.484299839
Stellaria media,3.05,0.484299839
Stellaria media,3.05,0.484299839
Stellaria palustris,3.05,0.484299839
Suaeda maritima,3.05,0.484299839
Suaeda maritima,3.05,0.484299839
Thalictrum lucidum,3.05,0.484299839
Thymus serpyllum,3.05,0.484299839
Trifolium campestre,3.05,0.484299839
Trifolium campestre,3.05,0.484299839
Trifolium repens,3.05,0.484299839
Trifolium repens,3.05,0.484299839
Trollius europaeus,3.05,0.484299839
Turgenia latifolia,3.05,0.484299839
Valerianella dentata,3.05,0.484299839
Valerianella dentata,3.05,0.484299839
Viola arvensis,3.05,0.484299839
Anthericum liliago,3.04,0.482873584
Dianthus monspessulanus,3.04,0.482873584
Hedypnois cretica,3.04,0.482873584
Hordeum murinum,3.04,0.482873584
Potamogeton alpinus,3.04,0.482873584
Trientalis europaea,3.04,0.482873584
Carex divulsa,3.03,0.481442629
Carex sylvatica,3.03,0.481442629
Eleocharis quinqueflora,3.03,0.481442629
Elymus pycnanthus,3.03,0.481442629
Geranium sylvaticum,3.03,0.481442629
Gypsophila scorzonerifolia Ser.,3.03,0.481442629
Lamium album,3.03,0.481442629
Rumex sanguineus,3.03,0.481442629
Trifolium striatum,3.0228,0.480409414
Coronopus squamatus,3.02,0.480006943
Coronopus squamatus,3.02,0.480006943
Oxyria digyna,3.02,0.480006943
Schoenus nigricans,3.02,0.480006943
Aethionema saxatile,3.01,0.478566496
Aethionema saxatile,3.01,0.478566496
Aethusa cynapium,3.01,0.478566496
Aethusa cynapium,3.01,0.478566496
Aethusa cynapium,3.01,0.478566496
Allium schoenoprasum,3.01,0.478566496
Amaranthus retroflexus,3.01,0.478566496
Ammi majus,3.01,0.478566496
Anemone nemorosa,3.01,0.478566496
Anemone ranunculoides,3.01,0.478566496
Apium graveolens,3.01,0.478566496
Armeria maritima s. elongata,3.01,0.478566496
Arrhenatherum elatius,3.01,0.478566496
Arrhenatherum elatius,3.01,0.478566496
Berteroa incana,3.01,0.478566496
Bromus sterilis,3.01,0.478566496
Bromus tectorum,3.01,0.478566496
Bromus tectorum,3.01,0.478566496
Bupleurum falcatum,3.01,0.478566496
Calla palustris,3.01,0.478566496
Cardamine pratensis,3.01,0.478566496
Cardamine pratensis,3.01,0.478566496
Cardamine pratensis,3.01,0.478566496
Cardamine pratensis,3.01,0.478566496
Cardamine pratensis,3.01,0.478566496
Carex chordorrhiza,3.01,0.478566496
Carex disticha,3.01,0.478566496
Carex elata,3.01,0.478566496
Carex elata,3.01,0.478566496
Carex nigra,3.01,0.478566496
Carex nigra,3.01,0.478566496
Carex panicea,3.01,0.478566496
Carex riparia,3.01,0.478566496
Carex sylvatica,3.01,0.478566496
Carex sylvatica,3.01,0.478566496
Carex sylvatica,3.01,0.478566496
Carex vesicaria,3.01,0.478566496
Carex vesicaria,3.01,0.478566496
Carex vesicaria,3.01,0.478566496
Carthamus lanatus,3.01,0.478566496
Clinopodium vulgare,3.01,0.478566496
Cochlearia officinalis,3.01,0.478566496
Cutandia maritima,3.01,0.478566496
Dactylis glomerata,3.01,0.478566496
Dactylis glomerata,3.01,0.478566496
Eleocharis quinqueflora,3.01,0.478566496
Eleocharis quinqueflora,3.01,0.478566496
Eleocharis uniglumis,3.01,0.478566496
Eleocharis uniglumis,3.01,0.478566496
Elymus caninus,3.01,0.478566496
Elymus farctus,3.01,0.478566496
Festuca arundinacea,3.01,0.478566496
Festuca pratensis,3.01,0.478566496
Galium boreale,3.01,0.478566496
Galium boreale,3.01,0.478566496
Galium mollugo,3.01,0.478566496
Galium uliginosum,3.01,0.478566496
Galium uliginosum,3.01,0.478566496
Gentianella germanica,3.01,0.478566496
Gentianella germanica,3.01,0.478566496
Gentianella germanica,3.01,0.478566496
Geum urbanum,3.01,0.478566496
Geum urbanum,3.01,0.478566496
Geum urbanum,3.01,0.478566496
Gypsophila scorzonerifolia Ser.,3.01,0.478566496
Hordeum murinum,3.01,0.478566496
Lamium album,3.01,0.478566496
Linum flavum,3.01,0.478566496
Linum flavum,3.01,0.478566496
Lolium perenne,3.01,0.478566496
Luzula luzuloides,3.01,0.478566496
Luzula luzuloides,3.01,0.478566496
Luzula luzuloides,3.01,0.478566496
Malva moschata,3.01,0.478566496
Medicago lupulina,3.01,0.478566496
Medicago lupulina,3.01,0.478566496
Medicago lupulina,3.01,0.478566496
Medicago sativa,3.01,0.478566496
Milium effusum,3.01,0.478566496
Molinia caerulea,3.01,0.478566496
Molinia caerulea s. arundinacea,3.01,0.478566496
Parapholis filiformis,3.01,0.478566496
Phalaris minor,3.01,0.478566496
Phalaris minor,3.01,0.478566496
Phalaris minor,3.01,0.478566496
Pimpinella saxifraga,3.01,0.478566496
Plantago coronopus,3.01,0.478566496
Plantago lanceolata,3.01,0.478566496
Poa bulbosa,3.01,0.478566496
Potentilla palustris,3.01,0.478566496
Potentilla palustris,3.01,0.478566496
Primula elatior,3.01,0.478566496
Primula elatior,3.01,0.478566496
Primula elatior,3.01,0.478566496
Ranunculus aconitifolius,3.01,0.478566496
Ranunculus auricomus,3.01,0.478566496
Ranunculus auricomus,3.01,0.478566496
Ranunculus auricomus,3.01,0.478566496
Ranunculus auricomus,3.01,0.478566496
Ranunculus flammula,3.01,0.478566496
Ranunculus repens,3.01,0.478566496
Ranunculus repens,3.01,0.478566496
Rumex acetosa,3.01,0.478566496
Rumex acetosa,3.01,0.478566496
Rumex acetosella,3.01,0.478566496
Rumex acetosella,3.01,0.478566496
Rumex acetosella,3.01,0.478566496
Rumex palustris,3.01,0.478566496
Rumex palustris,3.01,0.478566496
Rumex palustris,3.01,0.478566496
Rumex palustris,3.01,0.478566496
Rumex sanguineus,3.01,0.478566496
Rumex sanguineus,3.01,0.478566496
Rumex thyrsiflorus,3.01,0.478566496
Rumex thyrsiflorus,3.01,0.478566496
Scheuchzeria palustris,3.01,0.478566496
Scleranthus annuus,3.01,0.478566496
Sesleria caerulea,3.01,0.478566496
Setaria verticillata,3.01,0.478566496
Silene nutans,3.01,0.478566496
Solanum dulcamara,3.01,0.478566496
Spartina x townsendii,3.01,0.478566496
Stachys officinalis,3.01,0.478566496
Stachys officinalis,3.01,0.478566496
Stellaria media,3.01,0.478566496
Succisa pratensis,3.01,0.478566496
Trifolium campestre,3.01,0.478566496
Trifolium campestre,3.01,0.478566496
Trifolium campestre,3.01,0.478566496
Trifolium campestre,3.01,0.478566496
Trifolium campestre,3.01,0.478566496
Trifolium campestre,3.01,0.478566496
Trifolium dubium,3.01,0.478566496
Trollius europaeus,3.01,0.478566496
Viola arvensis,3.01,0.478566496
Vulpia myuros,3.01,0.478566496
Allium schoenoprasum,3,0.477121255
Carex extensa,3,0.477121255
Hirschfeldia incana,3,0.477121255
Hirschfeldia incana,3,0.477121255
Phalaris minor,3,0.477121255
Rumex acetosa,3,0.477121255
Rumex acetosella,3,0.477121255
Rumex palustris,3,0.477121255
Stachys officinalis,3,0.477121255
Brachypodium pinnatum,2.99,0.475671188
Fallopia convolvulus,2.99,0.475671188
Fallopia convolvulus,2.99,0.475671188
Aethionema saxatile,2.98,0.474216264
Allium schoenoprasum,2.98,0.474216264
Ammi majus,2.98,0.474216264
Ammi majus,2.98,0.474216264
Ammi majus,2.98,0.474216264
Anthoxanthum odoratum,2.98,0.474216264
Arrhenatherum elatius,2.98,0.474216264
Atriplex oblongifolia,2.98,0.474216264
Barbarea vulgaris,2.98,0.474216264
Bromus hordeaceus,2.98,0.474216264
Calla palustris,2.98,0.474216264
Cardamine pratensis,2.98,0.474216264
Carex appropinquata,2.98,0.474216264
Carex chordorrhiza,2.98,0.474216264
Carex disticha,2.98,0.474216264
Carex elata,2.98,0.474216264
Carex hostiana,2.98,0.474216264
Carex pallescens,2.98,0.474216264
Carex pallescens,2.98,0.474216264
Carex pallescens,2.98,0.474216264
Carex sylvatica,2.98,0.474216264
Carex sylvatica,2.98,0.474216264
Centaurea cyanus,2.98,0.474216264
Centaurea cyanus,2.98,0.474216264
Centaurea jacea,2.98,0.474216264
Centaurea jacea,2.98,0.474216264
Centaurea rhenana,2.98,0.474216264
Cuscuta europaea,2.98,0.474216264
Eleocharis multicaulis,2.98,0.474216264
Eleocharis quinqueflora,2.98,0.474216264
Eleocharis uniglumis,2.98,0.474216264
Elymus farctus,2.98,0.474216264
Elymus farctus,2.98,0.474216264
Eryngium maritimum,2.98,0.474216264
Festuca pratensis,2.98,0.474216264
Festuca pratensis,2.98,0.474216264
Festuca rubra,2.98,0.474216264
Galium uliginosum,2.98,0.474216264
Galium verum,2.98,0.474216264
Galium verum,2.98,0.474216264
Galium verum,2.98,0.474216264
Galium verum,2.98,0.474216264
Gentianella campestris,2.98,0.474216264
Gentianella germanica,2.98,0.474216264
Gentianella germanica,2.98,0.474216264
Geranium robertianum,2.98,0.474216264
Geranium robertianum,2.98,0.474216264
Geum urbanum,2.98,0.474216264
Geum urbanum,2.98,0.474216264
Gypsophila scorzonerifolia Ser.,2.98,0.474216264
Gypsophila scorzonerifolia Ser.,2.98,0.474216264
Hordeum murinum,2.98,0.474216264
Knautia arvensis,2.98,0.474216264
Knautia arvensis,2.98,0.474216264
Knautia arvensis,2.98,0.474216264
Luzula luzuloides,2.98,0.474216264
Lysimachia punctata,2.98,0.474216264
Malva pusilla,2.98,0.474216264
Medicago lupulina,2.98,0.474216264
Medicago lupulina,2.98,0.474216264
Montia fontana,2.98,0.474216264
Parapholis filiformis,2.98,0.474216264
Pedicularis palustris,2.98,0.474216264
Peucedanum officinale,2.98,0.474216264
Phalaris minor,2.98,0.474216264
Phalaris minor,2.98,0.474216264
Plantago lanceolata,2.98,0.474216264
Plantago maritima,2.98,0.474216264
Potentilla erecta,2.98,0.474216264
Potentilla reptans,2.98,0.474216264
Primula elatior,2.98,0.474216264
Primula elatior,2.98,0.474216264
Prunella laciniata,2.98,0.474216264
Prunella laciniata,2.98,0.474216264
Ranunculus acris,2.98,0.474216264
Ranunculus bulbosus,2.98,0.474216264
Ranunculus repens,2.98,0.474216264
Ranunculus repens,2.98,0.474216264
Ranunculus repens,2.98,0.474216264
Ranunculus sardous,2.98,0.474216264
Rhinanthus alectorolophus,2.98,0.474216264
Rhinanthus glacialis,2.98,0.474216264
Rumex acetosa,2.98,0.474216264
Rumex acetosa,2.98,0.474216264
Rumex acetosa,2.98,0.474216264
Rumex acetosella,2.98,0.474216264
Rumex acetosella,2.98,0.474216264
Rumex acetosella,2.98,0.474216264
Rumex palustris,2.98,0.474216264
Rumex palustris,2.98,0.474216264
Rumex palustris,2.98,0.474216264
Rumex pulcher,2.98,0.474216264
Rumex sanguineus,2.98,0.474216264
Rumex thyrsiflorus,2.98,0.474216264
Rumex thyrsiflorus,2.98,0.474216264
Salvia pratensis,2.98,0.474216264
Salvia verticillata,2.98,0.474216264
Solanum dulcamara,2.98,0.474216264
Spartina x townsendii,2.98,0.474216264
Stachys officinalis,2.98,0.474216264
Stellaria graminea,2.98,0.474216264
Stellaria media,2.98,0.474216264
Suaeda maritima,2.98,0.474216264
Suaeda maritima,2.98,0.474216264
Suaeda maritima,2.98,0.474216264
Thlaspi perfoliatum,2.98,0.474216264
Thlaspi perfoliatum,2.98,0.474216264
Trientalis europaea,2.98,0.474216264
Trifolium campestre,2.98,0.474216264
Trifolium campestre,2.98,0.474216264
Trifolium campestre,2.98,0.474216264
Trifolium campestre,2.98,0.474216264
Trifolium campestre,2.98,0.474216264
Trifolium dubium,2.98,0.474216264
Trifolium repens,2.98,0.474216264
Valerianella dentata,2.98,0.474216264
Vulpia myuros,2.98,0.474216264
Vulpia myuros,2.98,0.474216264
Euphorbia cyparissias,2.97,0.472756449
Agrimonia eupatoria,2.96,0.471291711
Anthoxanthum odoratum,2.96,0.471291711
Barbarea vulgaris,2.96,0.471291711
Briza media,2.96,0.471291711
Carex sempervirens,2.96,0.471291711
Cuscuta europaea,2.96,0.471291711
Gentiana clusii,2.96,0.471291711
Potentilla alba,2.96,0.471291711
Stellaria media,2.96,0.471291711
Thymus praecox,2.96,0.471291711
Euphrasia minima,2.9589,0.471130288
Lathyrus pratensis,2.95,0.469822016
Luzula campestris,2.95,0.469822016
Luzula nivea,2.95,0.469822016
Adenophora lilifolia,2.94,0.46834733
Allium schoenoprasum,2.94,0.46834733
Anthoxanthum odoratum,2.94,0.46834733
Apium graveolens,2.94,0.46834733
Aristolochia clematitis,2.94,0.46834733
Armeria maritima s. elongata,2.94,0.46834733
Arrhenatherum elatius,2.94,0.46834733
Arrhenatherum elatius,2.94,0.46834733
Atriplex calotheca,2.94,0.46834733
Barbarea vulgaris,2.94,0.46834733
Barbarea vulgaris,2.94,0.46834733
Barbarea vulgaris,2.94,0.46834733
Berteroa incana,2.94,0.46834733
Berteroa incana,2.94,0.46834733
Caltha palustris,2.94,0.46834733
Cardamine pratensis,2.94,0.46834733
Carex appropinquata,2.94,0.46834733
Carex appropinquata,2.94,0.46834733
Carex distans,2.94,0.46834733
Carex distans,2.94,0.46834733
Carex distans,2.94,0.46834733
Carex disticha,2.94,0.46834733
Carex extensa,2.94,0.46834733
Carex extensa,2.94,0.46834733
Carex extensa,2.94,0.46834733
Carex montana,2.94,0.46834733
Carex nigra,2.94,0.46834733
Carex nigra,2.94,0.46834733
Carex pallescens,2.94,0.46834733
Carex panicea,2.94,0.46834733
Carex pilulifera,2.94,0.46834733
Carex sylvatica,2.94,0.46834733
Carex vesicaria,2.94,0.46834733
Carthamus lanatus,2.94,0.46834733
Centaurea phrygia subsp. pseudophrygia,2.94,0.46834733
Chaerophyllum hirsutum,2.94,0.46834733
Chaerophyllum hirsutum,2.94,0.46834733
Chaerophyllum temulum,2.94,0.46834733
Cochlearia officinalis,2.94,0.46834733
Cuscuta europaea,2.94,0.46834733
Cynosurus cristatus,2.94,0.46834733
Dianthus superbus,2.94,0.46834733
Eleocharis mamillata,2.94,0.46834733
Elymus farctus,2.94,0.46834733
Falcaria vulgaris,2.94,0.46834733
Festuca gigantea,2.94,0.46834733
Festuca ovina,2.94,0.46834733
Festuca rubra,2.94,0.46834733
Galium mollugo,2.94,0.46834733
Galium mollugo,2.94,0.46834733
Galium uliginosum,2.94,0.46834733
Galium verum,2.94,0.46834733
Geranium robertianum,2.94,0.46834733
Geum urbanum,2.94,0.46834733
Glaux maritima,2.94,0.46834733
Hordeum murinum,2.94,0.46834733
Hordeum murinum,2.94,0.46834733
Iris sibirica,2.94,0.46834733
Leonurus cardiaca,2.94,0.46834733
Leonurus cardiaca,2.94,0.46834733
Leonurus cardiaca,2.94,0.46834733
Leonurus cardiaca,2.94,0.46834733
Luzula luzuloides,2.94,0.46834733
Luzula luzuloides,2.94,0.46834733
Luzula luzuloides,2.94,0.46834733
Lychnis flos-cuculi,2.94,0.46834733
Malva moschata,2.94,0.46834733
Malva pusilla,2.94,0.46834733
Medicago lupulina,2.94,0.46834733
Medicago lupulina,2.94,0.46834733
Melilotus officinalis,2.94,0.46834733
Melilotus officinalis,2.94,0.46834733
Melilotus officinalis,2.94,0.46834733
Molinia caerulea,2.94,0.46834733
Montia fontana,2.94,0.46834733
Montia fontana subsp. chondrosperma,2.94,0.46834733
Montia fontana subsp. chondrosperma,2.94,0.46834733
Montia fontana subsp. chondrosperma,2.94,0.46834733
Montia fontana subsp. chondrosperma,2.94,0.46834733
Myrica gale,2.94,0.46834733
Oenanthe lachenalii,2.94,0.46834733
Oenanthe lachenalii,2.94,0.46834733
Oenanthe lachenalii,2.94,0.46834733
Phalaris minor,2.94,0.46834733
Phalaris minor,2.94,0.46834733
Plantago maritima,2.94,0.46834733
Potamogeton alpinus,2.94,0.46834733
Primula elatior,2.94,0.46834733
Primula elatior,2.94,0.46834733
Ranunculus repens,2.94,0.46834733
Reseda lutea,2.94,0.46834733
Reseda lutea,2.94,0.46834733
Rudbeckia laciniata,2.94,0.46834733
Rumex acetosa,2.94,0.46834733
Rumex acetosella,2.94,0.46834733
Rumex acetosella,2.94,0.46834733
Rumex conglomeratus,2.94,0.46834733
Rumex conglomeratus,2.94,0.46834733
Rumex crispus,2.94,0.46834733
Rumex crispus,2.94,0.46834733
Rumex pulcher,2.94,0.46834733
Rumex sanguineus,2.94,0.46834733
Rumex sanguineus,2.94,0.46834733
Rumex thyrsiflorus,2.94,0.46834733
Schoenus nigricans,2.94,0.46834733
Scirpus triqueter,2.94,0.46834733
Selinum carvifolia,2.94,0.46834733
Sesleria caerulea,2.94,0.46834733
Stachys officinalis,2.94,0.46834733
Stachys officinalis,2.94,0.46834733
Stachys officinalis,2.94,0.46834733
Stellaria graminea,2.94,0.46834733
Stellaria media,2.94,0.46834733
Stellaria palustris,2.94,0.46834733
Succisa pratensis,2.94,0.46834733
Thalictrum lucidum,2.94,0.46834733
Thymus serpyllum,2.94,0.46834733
Trifolium campestre,2.94,0.46834733
Trifolium campestre,2.94,0.46834733
Vaccinium vitis-idaea,2.94,0.46834733
Vulpia myuros,2.94,0.46834733
Carex appropinquata,2.93,0.46686762
Carex humilis,2.93,0.46686762
Salvia pratensis,2.93,0.46686762
Allium ericetorum,2.92,0.465382851
Polygala amarella,2.92,0.465382851
Aethusa cynapium,2.91,0.463892989
Alchemilla xanthochlora,2.91,0.463892989
Allium schoenoprasum,2.91,0.463892989
Ammi majus,2.91,0.463892989
Armeria maritima s. elongata,2.91,0.463892989
Barbarea vulgaris,2.91,0.463892989
Berteroa incana,2.91,0.463892989
Berteroa incana,2.91,0.463892989
Bromus benekenii,2.91,0.463892989
Bromus hordeaceus,2.91,0.463892989
Bromus hordeaceus,2.91,0.463892989
Bromus sterilis,2.91,0.463892989
Caltha palustris,2.91,0.463892989
Carex appropinquata,2.91,0.463892989
Carex arenaria,2.91,0.463892989
Carex dioica,2.91,0.463892989
Carex disticha,2.91,0.463892989
Carex disticha,2.91,0.463892989
Carex riparia,2.91,0.463892989
Carex scandinavica,2.91,0.463892989
Carex sylvatica,2.91,0.463892989
Centaurea rhenana,2.91,0.463892989
Centaurea scabiosa,2.91,0.463892989
Chenopodium bonus-henricus,2.91,0.463892989
Cochlearia officinalis,2.91,0.463892989
Conium maculatum,2.91,0.463892989
Corispermum intermedium,2.91,0.463892989
Cutandia maritima,2.91,0.463892989
Dactylis glomerata,2.91,0.463892989
Dactylis glomerata,2.91,0.463892989
Dactylis glomerata,2.91,0.463892989
Dianthus sylvestris,2.91,0.463892989
Echinochloa crus-galli,2.91,0.463892989
Eleocharis mamillata,2.91,0.463892989
Eleocharis multicaulis,2.91,0.463892989
Eleocharis quinqueflora,2.91,0.463892989
Eleocharis uniglumis,2.91,0.463892989
Elymus caninus,2.91,0.463892989
Falcaria vulgaris,2.91,0.463892989
Festuca ovina,2.91,0.463892989
Fragaria viridis,2.91,0.463892989
Galium boreale,2.91,0.463892989
Galium uliginosum,2.91,0.463892989
Galium uliginosum,2.91,0.463892989
Galium verum,2.91,0.463892989
Gentianella campestris,2.91,0.463892989
Gentianella campestris,2.91,0.463892989
Gentianella germanica,2.91,0.463892989
Geranium robertianum,2.91,0.463892989
Geranium robertianum,2.91,0.463892989
Geum urbanum,2.91,0.463892989
Geum urbanum,2.91,0.463892989
Glaux maritima,2.91,0.463892989
Gypsophila scorzonerifolia Ser.,2.91,0.463892989
Knautia arvensis,2.91,0.463892989
Lamium album,2.91,0.463892989
Lamium album,2.91,0.463892989
Lamium maculatum,2.91,0.463892989
Lolium perenne,2.91,0.463892989
Malva moschata,2.91,0.463892989
Malva moschata,2.91,0.463892989
Malva verticillata,2.91,0.463892989
Medicago lupulina,2.91,0.463892989
Mercurialis annua,2.91,0.463892989
Molinia caerulea,2.91,0.463892989
Montia fontana subsp. chondrosperma,2.91,0.463892989
Oenanthe lachenalii,2.91,0.463892989
Oenanthe lachenalii,2.91,0.463892989
Plantago coronopus,2.91,0.463892989
Plantago lanceolata,2.91,0.463892989
Plantago major,2.91,0.463892989
Prunella laciniata,2.91,0.463892989
Ranunculus acris,2.91,0.463892989
Ranunculus flammula,2.91,0.463892989
Reseda lutea,2.91,0.463892989
Rumex acetosella,2.91,0.463892989
Rumex acetosella,2.91,0.463892989
Rumex acetosella,2.91,0.463892989
Rumex acetosella,2.91,0.463892989
Rumex conglomeratus,2.91,0.463892989
Rumex conglomeratus,2.91,0.463892989
Rumex hydrolapathum,2.91,0.463892989
Rumex hydrolapathum,2.91,0.463892989
Rumex palustris,2.91,0.463892989
Salvia pratensis,2.91,0.463892989
Saponaria officinalis,2.91,0.463892989
Scabiosa ochroleuca,2.91,0.463892989
Schoenus nigricans,2.91,0.463892989
Selinum carvifolia,2.91,0.463892989
Stachys officinalis,2.91,0.463892989
Stellaria graminea,2.91,0.463892989
Stellaria graminea,2.91,0.463892989
Stellaria graminea,2.91,0.463892989
Stipa capillata,2.91,0.463892989
Suaeda maritima,2.91,0.463892989
Suaeda maritima,2.91,0.463892989
Succisa pratensis,2.91,0.463892989
Thalictrum minus,2.91,0.463892989
Thlaspi perfoliatum,2.91,0.463892989
Thlaspi perfoliatum,2.91,0.463892989
Trientalis europaea,2.91,0.463892989
Trifolium campestre,2.91,0.463892989
Trifolium campestre,2.91,0.463892989
Trifolium campestre,2.91,0.463892989
Trifolium campestre,2.91,0.463892989
Trifolium repens,2.91,0.463892989
Trifolium repens,2.91,0.463892989
Trifolium repens,2.91,0.463892989
Vulpia myuros,2.91,0.463892989
Vulpia myuros,2.91,0.463892989
Erodium malacoides,2.9,0.462397998
Fallopia convolvulus,2.9,0.462397998
Knautia arvensis,2.9,0.462397998
Myosotis alpestris,2.9,0.462397998
Allium vineale,2.89,0.460897843
Festuca pratensis,2.89,0.460897843
Plantago coronopus,2.89,0.460897843
Rumex acetosella,2.89,0.460897843
Trifolium campestre,2.89,0.460897843
Carex disticha,2.88,0.459392488
Oenanthe lachenalii,2.88,0.459392488
Primula elatior,2.88,0.459392488
Suaeda maritima,2.88,0.459392488
Allium schoenoprasum,2.87,0.457881897
Amelanchier ovalis,2.87,0.457881897
Anthoxanthum odoratum,2.87,0.457881897
Apium graveolens,2.87,0.457881897
Arrhenatherum elatius,2.87,0.457881897
Atriplex oblongifolia,2.87,0.457881897
Atriplex oblongifolia,2.87,0.457881897
Barbarea vulgaris,2.87,0.457881897
Berteroa incana,2.87,0.457881897
Berteroa incana,2.87,0.457881897
Berteroa incana,2.87,0.457881897
Berteroa incana,2.87,0.457881897
Briza media,2.87,0.457881897
Briza media,2.87,0.457881897
Briza media,2.87,0.457881897
Bromus benekenii,2.87,0.457881897
Bromus benekenii,2.87,0.457881897
Bromus hordeaceus,2.87,0.457881897
Cardamine pratensis,2.87,0.457881897
Carex arenaria,2.87,0.457881897
Carex extensa,2.87,0.457881897
Carex flacca,2.87,0.457881897
