species,velocity,log.velocity
Triticum durum,4.81,0.682145076
Triticum durum,4.81,0.682145076
Triticum durum,4.81,0.682145076
Triticum durum,4.81,0.682145076
Triticum spelta,4.81,0.682145076
Triticum spelta,4.81,0.682145076
Triticum spelta,4.81,0.682145076
Triticum spelta,4.81,0.682145076
Triticum spelta,4.81,0.682145076
Vicia cracca,4.81,0.682145076
Vicia cracca,4.81,0.682145076
Vicia cracca,4.81,0.682145076
Vicia hirsuta,4.81,0.682145076
Vicia sativa s. nigra,4.81,0.682145076
Vicia sativa s. nigra,4.81,0.682145076
Vicia sativa s. nigra,4.81,0.682145076
Vicia sativa s. nigra,4.81,0.682145076
Vicia sativa s. nigra,4.81,0.682145076
Vicia sativa s. nigra,4.81,0.682145076
Vicia sepium,4.81,0.682145076
Vicia sepium,4.81,0.682145076
Vicia villosa,4.81,0.682145076
Vicia villosa,4.81,0.682145076
Vicia villosa,4.81,0.682145076
Vicia villosa,4.81,0.682145076
Vicia villosa,4.81,0.682145076
Vicia villosa,4.81,0.682145076
Gypsophila elegans,4.8,0.681241237
Gladiolus italicus,4.79,0.680335513
Scilla bifolia,4.79,0.680335513
Lathyrus pratensis,4.77,0.678518379
Phytolacca esculenta,4.77,0.678518379
Triticum durum,4.77,0.678518379
Beta vulgaris,4.75,0.67669361
Smyrnium olusatrum,4.75,0.67669361
Centaurea montana,4.73,0.674861141
Arum maculatum,4.72,0.673941999
Brassica rapa,4.72,0.673941999
Helleborus foetidus,4.72,0.673941999
Impatiens glandulifera,4.72,0.673941999
Juniperus communis,4.72,0.673941999
Juniperus communis,4.72,0.673941999
Juniperus communis,4.72,0.673941999
Lathyrus japonicus,4.72,0.673941999
Lathyrus pratensis,4.72,0.673941999
Lathyrus pratensis,4.72,0.673941999
Lathyrus pratensis,4.72,0.673941999
Lathyrus pratensis,4.72,0.673941999
Lupinus polyphyllus,4.72,0.673941999
Phytolacca esculenta,4.72,0.673941999
Phytolacca esculenta,4.72,0.673941999
Phytolacca esculenta,4.72,0.673941999
Phytolacca esculenta,4.72,0.673941999
Polygonatum multiflorum,4.72,0.673941999
Prunus spinosa,4.72,0.673941999
Rosa sherardii,4.72,0.673941999
Rosa sherardii,4.72,0.673941999
Solanum luteum s. alatum,4.72,0.673941999
Solanum luteum s. alatum,4.72,0.673941999
Triticum dicoccon,4.72,0.673941999
Triticum dicoccon,4.72,0.673941999
Triticum dicoccon,4.72,0.673941999
Triticum dicoccon,4.72,0.673941999
Triticum durum,4.72,0.673941999
Triticum durum,4.72,0.673941999
Triticum spelta,4.72,0.673941999
Vicia cracca,4.72,0.673941999
Vicia cracca,4.72,0.673941999
Vicia hirsuta,4.72,0.673941999
Vicia hirsuta,4.72,0.673941999
Vicia hirsuta,4.72,0.673941999
Vicia hirsuta,4.72,0.673941999
Vicia hirsuta,4.72,0.673941999
Vicia hirsuta,4.72,0.673941999
Vicia hirsuta,4.72,0.673941999
Coriandrum sativum,4.71,0.673020907
Geranium sanguineum,4.71,0.673020907
Rhamnus saxatilis,4.71,0.673020907
Allium ursinum,4.7,0.672097858
Dictamnus albus,4.7,0.672097858
Sinapis alba,4.69,0.671172843
Cannabis sativa,4.68,0.670245853
Lathyrus pratensis,4.68,0.670245853
Ononis repens,4.68,0.670245853
Allium vineale,4.66,0.668385917
Anchusa azurea,4.66,0.668385917
Bifora testiculata,4.65,0.667452953
Geranium pratense,4.65,0.667452953
